Par,9274,290432,1084062,45449,148884,233792,17516,1213359,152720,4610,96067,161718,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Santa Maria do Pará,20,600,1297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,30.0
Santo Antônio do Tauá,20,360,900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,
São Caetano de Odivelas,30,660,1320,50,45,90,10,500,150,30,450,675,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,30.0
São Domingos do Capim,-,-,-,50,52,105,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,300.0
São Francisco do Pará,15,325,685,-,-,-,100,6000,2591,20,440,593,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,80.0
São João da Ponta,80,2400,6036,12,6,18,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,20.0
São Miguel do Guamá,70,1890,3935,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,500.0
Terra Alta,10,297,705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,7.0
Vigia,10,250,623,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,
RI Guamá,398,10574,23592,187,156,317,125,7400,3169,255,5400,9877,0,0,0,0,0,0,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,1320.0
Castanhal,30,900,1800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,286.0
Colares,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,3.0
Curuçá,45,1089,2472,-,-,-,-,-,-,35,770,1463,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,16.0
Igarapé-Açu,5,125,276,-,-,-,15,900,428,80,1760,3485,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,72.0
Inhangapi,30,920,1892,5,10,20,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,6.0
Magalhães Barata,-,-,-,10,6,13,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,17.0
Maracanã,20,433,878,40,20,39,-,-,-,30,660,894,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,140.0
Marapanim,13,325,773,20,17,32,-,-,-,60,1320,2767,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,35.0
Santa Izabel do Pará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,
Santa Maria do Pará,20,600,1297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,26.0
Santo Antônio do Tauá,20,360,900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,
São Caetano de Odivelas,30,660,1320,50,45,90,10,500,150,30,450,675,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,27.0
São Domingos do Capim,-,-,-,50,52,105,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,266.0
São Francisco do Pará,15,325,685,-,-,-,100,6000,2591,20,440,593,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,56.0
São João da Ponta,80,2400,6036,12,6,18,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,16.0
São Miguel do Guamá,70,1890,3935,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,350.0
Terra Alta,10,297,705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,4.0
Vigia,10,250,623,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,15601,
