Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Santa Maria do Pará,192.0,4.0,21.0,3.0,43.0,15.0,7.0,93.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Santo Antônio do Tauá,173.0,10.0,22.0,6.0,36.0,19.0,6.0,99.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
São Caetano de Odivelas,113.0,9.0,16.0,3.0,20.0,9.0,7.0,64.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
São Domingos do Capim,154.0,4.0,14.0,3.0,54.0,12.0,7.0,94.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
São Francisco do Pará,89.0,3.0,12.0,0.0,27.0,8.0,6.0,56.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
São João da Ponta,44.0,1.0,6.0,0.0,14.0,4.0,2.0,27.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
São Miguel do Guamá,310.0,10.0,32.0,7.0,90.0,34.0,11.0,184.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Terra Alta,70.0,7.0,11.0,1.0,11.0,3.0,4.0,37.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Vigia,317.0,27.0,42.0,5.0,83.0,30.0,12.0,199.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Fonte: DATASUS,,,,,,,,,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Elaboração: FAPESPA,,,,,,,,,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,,,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
