EstadoMunicpios,Ovos_de_codorna_Mil_dzias,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
São Domingos do Capim,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,18.0
São Francisco do Pará,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,819.0
São João da Ponta,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,28.0
São Miguel do Guamá,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,59.0
Terra Alta,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,24.0
Vigia,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,1126.0
Fonte: IBGE/PPM,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,
Elaboração: FAPESPA,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,
Pará,29,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,745689.0
RI Guamá,0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,126125.0
