Par,973,986,914,991,929,26,08,7,07,58,01,06,16,02,13,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Santa Maria do Pará,-,98,927.0,99.4,953.0,-,0.7,66.0,0.6,38.0,-,1.3,7.0,0,9.0,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
Santo Antônio do Tauá,-,-,918.0,99.8,927.0,-,-,62.0,0.2,55.0,-,-,2.0,0,18.0,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
São Caetano de Odivelas,-,96.5,981.0,-,979.0,-,0.9,14.0,-,13.0,-,2.6,5.0,-,8.0,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
São Domingos do Capim,-,100,826.0,100,842.0,-,0,161.0,0,147.0,-,0,13.0,0,11.0,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
São Francisco do Pará,-,-,874.0,99.1,88.0,-,-,109.0,0.9,104.0,-,-,17.0,0,16.0,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
São João da Ponta,-,-,911.0,-,911.0,-,-,84.0,-,84.0,-,-,5.0,-,5.0,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
São Miguel do Guamá,-,-,907.0,98.7,909.0,-,-,83.0,0.4,81.0,-,-,1.0,0.9,1.0,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
Terra Alta,-,98.4,954.0,100,961.0,-,1.6,37.0,0,32.0,-,0,9.0,0,7.0,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
Vigia,-,97.3,947.0,99.7,959.0,-,1.9,42.0,0.3,32.0,-,0.8,11.0,0,9.0,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
Fonte: MEC - INEP,,,,,,,,,,,,,,,,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
Elaboração: FAPESPA,,,,,,,,,,,,,,,,6 Guamá,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guama.xlsx",Guamá
