EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Irituia,377734549.0,99.0,13.0,1483950996704794.0,2226537903817813.0,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Mãe do Rio,48839985.0,88.0,10.0,1.918705731622054e+16,2878849131282228.0,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Nova Esperança do Piriá,334512049.0,110.0,14.0,1.314149023004281e+16,1.9717649824566652e+16,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Ourém,279080616.0,117.0,15.0,1.096383583049449e+16,1.6450271000888084e+16,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Paragominas,5308605056.0,10.0,1.0,208551475760384.0,3.1291313979285708e+16,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Rondon do Pará,1083238556.0,43.0,5.0,4.255562376014649e+16,6385096915799658.0,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Tomé-Açu,1746482552.0,29.0,3.0,6861152972713469.0,1.0294556350958684e+16,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Ulianópolis,2344285426.0,19.0,2.0,9209654514480808.0,1.3818276279400348e+16,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Fonte: FAPESPA/IBGE,,,,,,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Elaboração: FAPESPA,,,,,,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
