Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Muaná,124.0,7.0,16.0,2.0,24.0,12.0,4.0,65.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Oeiras do Pará,109.0,6.0,12.0,0.0,36.0,17.0,4.0,75.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Ponta de Pedras,116.0,8.0,30.0,4.0,31.0,9.0,2.0,84.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Portel,232.0,17.0,23.0,3.0,55.0,35.0,4.0,137.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Salvaterra,138.0,9.0,12.0,2.0,29.0,8.0,6.0,66.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Santa Cruz do Arari,30.0,2.0,7.0,0.0,6.0,2.0,0.0,17.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
São Sebastião da Boa Vista,94.0,3.0,6.0,2.0,37.0,8.0,6.0,62.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Soure,158.0,15.0,23.0,4.0,44.0,12.0,7.0,105.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Fonte: DATASUS,,,,,,,,,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Elaboração: FAPESPA,,,,,,,,,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,,,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
