Par,27792,9307,99624,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Marajó,-,139,402,870,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,801.0
Afuá,-,9,40,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,219.0
Anajás,-,14,2,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,32.0
Bagre,-,-,-,2,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,
Breves,-,9,69,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,204.0
Cachoeira do Arari,-,6,-,64,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,86.0
Chaves,-,10,1,288,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,2.0
Curralinho,-,-,-,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,4.0
Gurupá,-,40,-,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,
Melgaço,-,-,3,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,1.0
Muaná,-,-,74,36,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,11.0
Oeiras do Pará,-,1,-,1,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,6.0
Ponta de Pedras,-,5,5,80,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,
Portel,-,9,162,143,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,104.0
Salvaterra,-,19,19,46,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,124.0
Santa Cruz do Arari,-,2,-,23,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,
São Sebastião da Boa Vista,-,-,1,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,3.0
Soure,-,15,26,187,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,5.0
