EstadoMunicpio,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Muaná,118.0,159.0,18.0,285.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Oeiras do Pará,13.0,17.0,212.0,284.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Ponta de Pedras,157.0,158.0,165.0,31.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Portel,172.0,16.0,178.0,313.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Salvaterra,116.0,171.0,18.0,307.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Santa Cruz do Arari,153.0,114.0,165.0,264.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
São Sebastião da Boa Vista,147.0,18.0,173.0,325.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Soure,141.0,163.0,24.0,295.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Fonte: MEC - INEP,,,,,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Elaboração: FAPESPA,,,,,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
