EstadoMunicpios,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Muaná,256.0,404.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Oeiras do Pará,379.0,571.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Ponta de Pedras,169.0,296.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Portel,476.0,48.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Salvaterra,222.0,318.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Santa Cruz do Arari,259.0,356.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
São Sebastião da Boa Vista,211.0,33.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
,267.0,298.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Fonte: MEC - INEP,,,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Elaboração: FAPESPA,,,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
