EstadoMunicpios,Ranking_Regional,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Elaboração: FAPESPA,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,
Pará,-,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,
RI Lago de Tucuruí,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,9.0
Breu Branco,4,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,57.0
Goianésia do Pará,6,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,74.0
Itupiranga,3,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,51.0
Jacundá,5,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,58.0
Nova Ipixuna,7,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,124.0
Novo Repartimento,2,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,34.0
Tucuruí,1,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,9.0
Fonte: FAPESPA/IBGE,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,
Elaboração: FAPESPA,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Ranking_Estadual,
Pará,-,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,100.0
RI Lago de Tucuruí,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,403569263733076.0
Breu Branco,4,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,3.15156822312913e+16
Goianésia do Pará,6,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,2.340677148533165e+16
Itupiranga,3,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,3849166662660975.0
Jacundá,5,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,3143776927971848.0
Nova Ipixuna,7,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,908067012634099.0
Novo Repartimento,2,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,552512050305033.0
Tucuruí,1,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,2.1438549895328044e+16
Fonte: FAPESPA/IBGE,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,
Elaboração: FAPESPA,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_no_Par_,
Pará,-,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,
RI Lago de Tucuruí,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,100.0
Breu Branco,4,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,7809237487455446.0
Goianésia do Pará,6,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,5799939090706642.0
Itupiranga,3,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,9537809264896956.0
Jacundá,5,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,7789931519787813.0
Nova Ipixuna,7,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,2.2500896233631456e+16
Novo Repartimento,2,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,1.3690637517689384e+16
Tucuruí,1,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,5312235549610062.0
Fonte: FAPESPA/IBGE,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,
Elaboração: FAPESPA,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,Partipao_na_Regio_,
