Regio_de_Integrao,Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
,,HOSPITAL MUNICIPAL SAO FRANCISCO DE ASSIS ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,São Félix do Xingu,COMPLEXO HOSPITALAR XINGU ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL E MATERNIDADE SAO LUCAS ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL MUNICIPAL ORZEU JONAS GUIDA ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,UNIDADE MUNICIPAL MATERNO INFANTIL NS DAS MERCES ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,CLINICA VIVER ,Hospital/Dia,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,Sapucaia,HOSPITAL MUNICIPAL DE SAPUCAIA ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,Tucumã,HOSPITAL E MATERNIDADE NOSSA SENHORA DE NAZARE ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL E MATERNIDADE SANTO AGOSTINHO ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL MUNICIPAL DE TUCUMA ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
