EstadoMunicpio,rea_de_Floresta_km,Hidrografia_km,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Irituia,1441.0,3.3,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Mãe do Rio,195.0,1.4,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Nova Esperança do Piriá,12257.0,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Ourém,33.0,0.3,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Paragominas,104646.0,36,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Rondon do Pará,25355.0,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Tomé-Açu,20853.0,0.4,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Ulianópolis,14064.0,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Fonte: INPE/PRODES,,,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Elaboração: FAPESPA,,,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
