Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Mãe do Rio,224.0,13.0,33.0,6.0,46.0,19.0,7.0,124.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Nova Esperança do Piriá,76.0,4.0,5.0,1.0,20.0,4.0,2.0,36.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Ourém,93.0,4.0,18.0,3.0,15.0,13.0,6.0,59.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Paragominas,483.0,23.0,64.0,18.0,135.0,26.0,23.0,289.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Rondon do Pará,246.0,9.0,32.0,7.0,79.0,19.0,15.0,161.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Tomé-Açu,409.0,19.0,44.0,7.0,70.0,50.0,19.0,209.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Ulianópolis,147.0,4.0,17.0,0.0,42.0,15.0,7.0,85.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Fonte: DATASUS,,,,,,,,,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Elaboração: FAPESPA,,,,,,,,,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,,,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
