Par,27792,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Almeirim,115,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,9307,17.0
Belterra,-,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,9307,
Curuá,-,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,9307,
Faro,-,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,9307,2.0
Juruti,698,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,9307,102.0
Mojuí dos Campos,-,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,9307,1.0
Monte Alegre,32,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,9307,17.0
Óbidos,-,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,9307,10.0
Oriximiná,1790,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,9307,21.0
Prainha,-,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,9307,4.0
