EstadoMunicpio,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Alenquer,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,4755.0
Almeirim,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,54016.0
Belterra,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,27.0
Curuá,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,580.0
Faro,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,485.0
Juruti,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,3735.0
Mojuí dos Campos,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,624.0
Monte Alegre,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,10578.0
Óbidos,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,979.0
Oriximiná,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,1788.0
Prainha,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,49128.0
Santarém,1000,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,14124.0
Terra Santa,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,922.0
Fonte: IBGE/PPM,,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,
Elaboração: FAPESPA,,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Bubalino,
Pará,1980,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,499639.0
RI Baixo Amazonas,1000,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,60654.0
Alenquer,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,10598.0
