EstadoRIs,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,
Elaboração: FAPESPA,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,
Pará,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,698269.0
Araguaia,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,39173.0
Baixo Amazonas,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,74548.0
Carajás,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,69330.0
Guajará,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,138071.0
Guamá,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,53157.0
Lago de Tucuruí,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,29088.0
Marajó,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,62880.0
Rio Caeté,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,43141.0
Rio Capim,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,54394.0
Tapajós,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,23974.0
Tocantins,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,73555.0
Xingu,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,36958.0
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,
Elaboração: FAPESPA,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,10_a_14_anos,
Pará,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,15_a_19_anos,751277.0
Araguaia,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,15_a_19_anos,40221.0
Baixo Amazonas,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,15_a_19_anos,78945.0
Carajás,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,15_a_19_anos,73963.0
Guajará,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,15_a_19_anos,153583.0
Guamá,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,15_a_19_anos,58357.0
Lago de Tucuruí,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,15_a_19_anos,31142.0
Marajó,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,15_a_19_anos,66160.0
Rio Caeté,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,15_a_19_anos,47342.0
Rio Capim,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,15_a_19_anos,59191.0
