Par,9274,290432,1084062,45449,148884,233792,17516,1213359,152720,21320,15601,70569,4610,96067,161718,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Marabá,50,1250,2375,100,140,210,-,-,-,150,90,270,-,-,-,540,1674,3068,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,105700.0
Palestina do Pará,-,-,-,-,-,-,-,-,-,40,24,72,-,-,-,-,-,-,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,1545.0
Parauapebas,25,700,1540,-,-,-,-,-,-,500,300,1110,200,4400,8800,-,-,-,6,210,630,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,34000.0
Piçarra,6,150,450,-,-,-,-,-,-,-,-,-,14,315,630,200,800,1320,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,8470.0
São Domingos do Araguaia,-,-,-,-,-,-,-,-,-,165,99,594,-,-,-,-,-,-,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,26600.0
São Geraldo do Araguaia,5,150,360,-,-,-,-,-,-,40,24,84,40,860,1204,-,-,-,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,8550.0
São João do Araguaia,10,200,560,-,-,-,-,-,-,50,40,200,40,900,1800,-,-,-,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,8200.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,,,,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,
