EstadoMunicpios,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Rio Maria,25.0,3.0,11.0,3.0,10.0,45.0,5.0,1.0,1.0,4.0,3.0,7.0,0.0,4.0,1.0,0.0,0.0,3.0,7.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Santa Maria das Barreiras,14.0,2.0,2.0,1.0,5.0,22.0,3.0,0.0,0.0,7.0,1.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Santana do Araguaia,24.0,8.0,6.0,1.0,15.0,38.0,12.0,1.0,0.0,5.0,2.0,22.0,0.0,4.0,0.0,2.0,0.0,1.0,8.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
São Félix do Xingu,36.0,6.0,2.0,3.0,10.0,51.0,3.0,1.0,0.0,16.0,1.0,28.0,1.0,5.0,1.0,1.0,0.0,3.0,22.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Sapucaia,4.0,1.0,3.0,0.0,4.0,13.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Tucumã,32.0,2.0,3.0,0.0,13.0,15.0,5.0,1.0,2.0,10.0,2.0,25.0,2.0,6.0,1.0,1.0,0.0,3.0,8.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Xinguara,41.0,7.0,11.0,0.0,20.0,59.0,10.0,2.0,1.0,11.0,4.0,33.0,1.0,8.0,0.0,1.0,0.0,7.0,15.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Fonte: DATASUS,,,,,,,,,,,,,,,,,,,,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
*Nota: Dados referentes a Outubro/2025.,,,,,,,,,,,,,,,,,,,,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
