EstadoMunicpios,Total,Automvel,Caminho,Caminho_trator,Caminhonete,Camioneta,Ciclomotor,Micronibus,Motocicleta,Motoneta,nibus,Reboque,Semireboque,Triciclo,Utilitrio,Outros,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Irituia,4436.0,995.0,141.0,13.0,445.0,24.0,4.0,19.0,2391.0,216.0,73.0,85.0,18.0,1.0,10.0,1.0,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
Mãe do Rio,12869.0,2898.0,386.0,82.0,924.0,118.0,11.0,37.0,6796.0,1040.0,101.0,288.0,112.0,11.0,65.0,0.0,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
Nova Esperança do Piriá,2247.0,584.0,115.0,21.0,314.0,26.0,0.0,13.0,847.0,209.0,39.0,36.0,34.0,0.0,9.0,0.0,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
Ourém,3015.0,911.0,173.0,25.0,299.0,26.0,0.0,5.0,1238.0,222.0,25.0,50.0,20.0,0.0,19.0,2.0,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
Paragominas,53329.0,12027.0,1896.0,915.0,4387.0,715.0,605.0,138.0,21570.0,6964.0,311.0,1408.0,1741.0,48.0,575.0,29.0,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
Rondon do Pará,19915.0,2897.0,583.0,205.0,1875.0,216.0,10.0,55.0,9957.0,3237.0,38.0,328.0,347.0,35.0,125.0,7.0,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
Tomé-Açu,22674.0,4234.0,893.0,195.0,1853.0,246.0,10.0,42.0,11071.0,2798.0,323.0,533.0,307.0,8.0,159.0,2.0,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
Ulianópolis,6660.0,1177.0,304.0,135.0,595.0,58.0,7.0,39.0,3034.0,795.0,70.0,135.0,231.0,18.0,61.0,1.0,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
Fonte: DENATRAN,,,,,,,,,,,,,,,,,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
"Nota1: Outros inclui: Chassi Plataf, Quadriciclo, Side-Car, Trator de Rodas, Trator Esteira, Sem identificação e Não Identificado.",,,,,,,,,,,,,,,,,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim
