EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Moju,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,37474487655.0
Tailândia,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,34587941628.0
Fonte: STN-FINBRA,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,
Elaboração: FAPESPA,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,
*Nota: A receita total do estado não equivale a soma das receitas dos municípios.,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,
Pará,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,1941808253785.0
RI Tocantins,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,3.2452152120099996e+16
Abaetetuba,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,54546949014.0
Acará,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,30384311644.0
Baião,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,17361843855.0
Barcarena,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,52539819477.0
Cametá,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,49913523209.0
Igarapé-Miri,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,26942443185.0
Limoeiro do Ajuru,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,12868826665.0
Mocajuba,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,14351278873.0
Moju,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,34597624101.0
Tailândia,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,31014901178.0
Fonte: STN-FINBRA,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,
Elaboração: FAPESPA,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,
*Nota: A receita total do estado não equivale a soma das receitas dos municípios.,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_de_Transferncias_Correntes,
Pará,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,2901290031488.0
RI Tocantins,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,70694793675.0
Abaetetuba,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,3151553152.0
Acará,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,327433853.0
Baião,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,856729414.0
Barcarena,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,5273466432.0
Cametá,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,3552996218.0
Igarapé-Miri,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,1557275386.0
Limoeiro do Ajuru,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,452895507.0
Mocajuba,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,1294710682.0
Moju,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,193469864.0
Tailândia,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,1884931826.0
Fonte: STN-FINBRA,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,
Elaboração: FAPESPA,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,
*Nota: A receita total do estado não equivale a soma das receitas dos municípios.,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Impostos,
