Par,27792,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Moju,29,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,1714.0
Tailândia,2,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,3066.0
Fonte: MTE-RAIS,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,
Elaboração: FAPESPA,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,
RI Tocantins,365,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,364.0
Abaetetuba,24,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,53.0
Acará,1,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,1.0
Baião,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,
Barcarena,309,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,227.0
Cametá,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,3.0
Igarapé-Miri,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,17.0
Limoeiro do Ajuru,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,5.0
Mocajuba,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,10.0
Moju,29,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,43.0
Tailândia,2,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,5.0
Fonte: MTE-RAIS,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,
Elaboração: FAPESPA,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,9307,
RI Tocantins,365,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,11362.0
Abaetetuba,24,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,482.0
Acará,1,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,68.0
Baião,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,7.0
Barcarena,309,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,10108.0
Cametá,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,45.0
Igarapé-Miri,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,146.0
Limoeiro do Ajuru,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,
Mocajuba,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,47.0
Moju,29,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,50.0
Tailândia,2,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,409.0
Fonte: MTE-RAIS,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,
Elaboração: FAPESPA,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,99624,
RI Tocantins,365,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,13929.0
Abaetetuba,24,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,4472.0
Acará,1,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,371.0
Baião,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,167.0
Barcarena,309,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,3895.0
Cametá,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,1059.0
Igarapé-Miri,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,476.0
Limoeiro do Ajuru,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,24.0
Mocajuba,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,158.0
Moju,29,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,1013.0
Tailândia,2,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,2294.0
Fonte: MTE-RAIS,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,
Elaboração: FAPESPA,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,261547,
RI Tocantins,365,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,444602,15173.0
Abaetetuba,24,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,444602,2752.0
Acará,1,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,444602,512.0
