EstadoMunicpio,Bubalino,Ovino,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,
Pará,775075,284632,1980,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,587143.0
RI Tocantins,2854,7060,0,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,102253.0
Abaetetuba,773,577,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,12000.0
Acará,112,619,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,700.0
Baião,357,1465,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,1223.0
Barcarena,84,423,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,6300.0
Cametá,166,-,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,31500.0
Igarapé-Miri,74,9,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,18000.0
Limoeiro do Ajuru,-,168,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,22000.0
Mocajuba,-,-,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,230.0
Moju,528,1937,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,7600.0
