EstadoMunicpios,Ovos_de_codorna_Mil_dzias,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Rio Caeté,4,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,313.0
Augusto Corrêa,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,12.0
Bonito,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,16.0
Bragança,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,77.0
Cachoeira do Piriá,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,13.0
Capanema,4,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,24.0
Nova Timboteua,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,30.0
Peixe-Boi,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,29.0
Primavera,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,6.0
Quatipuru,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,6.0
Salinópolis,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,6.0
Santa Luzia do Pará,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,31.0
Santarém Novo,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,5.0
São João de Pirabas,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,4.0
Tracuateua,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,21.0
Viseu,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,33.0
Fonte: IBGE/PPM,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,
Elaboração: FAPESPA,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,
Pará,29,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,745689.0
RI Rio Caeté,4,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,201968.0
Augusto Corrêa,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,5000.0
Bonito,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,1050.0
Bragança,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,35120.0
Cachoeira do Piriá,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,16500.0
Capanema,4,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,5900.0
Nova Timboteua,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,10000.0
Peixe-Boi,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,10000.0
Primavera,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,8338.0
Quatipuru,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,3960.0
Salinópolis,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,10000.0
Santa Luzia do Pará,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,11500.0
Santarém Novo,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,20000.0
São João de Pirabas,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,22000.0
Tracuateua,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,20600.0
Viseu,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,22000.0
Fonte: IBGE/PPM,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,
Elaboração: FAPESPA,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Mel_de_abelha_Quilogramas,
