EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Primavera,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,8.0
Quatipuru,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,587.0
Salinópolis,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,209.0
Santa Luzia do Pará,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,0.0
Santarém Novo,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,88.0
São João de Pirabas,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,814.0
Tracuateua,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,208.0
Viseu,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,873.0
Fonte: INPE/PRODES,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,
Elaboração: FAPESPA,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,
