EstadoMunicpios,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,29,745689,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,39437.0
RI Araguaia,0,16546,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,559.0
Água Azul do Norte,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,49.0
Bannach,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,8.0
Conceição do Araguaia,-,5750,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,63.0
Cumaru do Norte,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,10.0
Floresta do Araguaia,-,2000,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,25.0
Ourilândia do Norte,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,20.0
Pau D'Arco,-,2696,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,9.0
Redenção,-,3600,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,18.0
Rio Maria,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,34.0
Santa Maria das Barreiras,-,2100,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,14.0
Santana do Araguaia,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,27.0
São Félix do Xingu,-,400,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,182.0
Sapucaia,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,4.0
Tucumã,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,60.0
Xinguara,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,36.0
Fonte: IBGE/PPM,,,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,
Elaboração: FAPESPA,,,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Ovos_de_galinha_Mil_dzias,
