Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
,HOSPITAL E MATERNIDADE SAO LUCAS ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL MUNICIPAL ORZEU JONAS GUIDA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,UNIDADE MUNICIPAL MATERNO INFANTIL NS DAS MERCES ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,CLINICA VIVER ,Hospital/Dia,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Sapucaia,HOSPITAL MUNICIPAL DE SAPUCAIA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Tucumã,HOSPITAL E MATERNIDADE NOSSA SENHORA DE NAZARE ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL E MATERNIDADE SANTO AGOSTINHO ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL MUNICIPAL DE TUCUMA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Xinguara,HOSPITAL E MATERNIDADE SANTA LUZIA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL E MATERNIDADE SAO SALVADOR ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL MUNICIPAL DE XINGUARA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Fonte: DATASUS,,,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Elaboração: FAPESPA,,,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
*Nota: Dados referentes a Novembro/2025.,,,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
